"","Id_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"224","13061","5110",NA,"11.5","10.9","14.2","33.1","44","83.8","74.4","78.7","97.2","55.6","13.8","4.6","521.8","1951 - 2010"
"225","13061","7100",NA,"8.5","8.4","13","29.1","47.7","79.4","67.8","71.5","90.1","56.1","14.9","5","491.5","1971 - 2000"
"226","13061","8110",NA,"10","13.4","10.1","27","40.8","67.2","70","71.3","91.4","60.9","14","3.2","479.3","1981 - 2010"
"227","13063","5110",NA,"13.1","6.2","11.8","31.8","51.6","55.2","69.9","48.6","63.7","23.9","7.1","10","392.9","1951 - 2010"
"228","13063","7100",NA,"13.1","6.2","11.8","31.8","51.6","55.2","69.9","48.6","63.7","23.9","7.1","10","392.9","1971 - 2000"
"229","13064","5110",NA,"12.1","9.6","13.8","25.6","51.1","101.4","111.9","98.7","97.3","44.7","12.5","6.6","585.3","1951 - 2010"
"230","13064","7100",NA,"12.8","10.2","15","24.5","59.8","99.4","109.3","91.4","94.9","49.3","12.5","7.6","586.7","1971 - 2000"
"231","13064","8110",NA,"10.1","9.2","9.8","24.7","52.5","94.1","98.8","84.9","99.3","50.3","11.5","4.4","549.6","1981 - 2010"
"232","13065","5110",NA,"23.8","18.1","15.7","32.4","50.3","149.1","156.1","169.2","241.1","137.5","42.4","15.3",NA,"1951 - 2010"
"233","13065","7100",NA,"20.2","13.7","15.7","30.4","49.8","156","159.1","155.3","222","120.7","40.7","17.6",NA,"1971 - 2000"
"234","13065","8110",NA,"22.9","18.2","14.8","30.1","54.2","149.6","182.7","161","241.2","151.6","49.3","12.1",NA,"1981 - 2010"
"235","13066","5110",NA,"60.9","63.4","33.1","53.6","70.1","176","245.5","248.9","327","289.3","84.8","59.9",NA,"1951 - 2010"
"236","13067","5110",NA,"9","3.8","10.9","20.3","37.8","67.6","59","53.9","108.5","33.4","6.5","4.5","415.2","1951 - 2010"
"237","13067","7100",NA,"9","3.8","10.9","20.3","37.8","67.6","59","53.9","108.5","33.4","6.5","4.5","415.2","1971 - 2000"
"238","13068","5110",NA,"8.8","7.6","13.6","29.1","52.4","101.8","118.3","106.2","93.5","48.3","12.9","7.5","600","1951 - 2010"
"239","13068","7100",NA,"8.5","6.9","12.8","27.7","52.2","106.5","122","98.3","88.6","48.5","12.9","7.7","592.6","1971 - 2000"
"240","13068","8110",NA,"9.2","10.4","12.2","26.1","42.6","101.6","114.6","101.6","86.8","45.7","11.2","6","568","1981 - 2010"
"241","13069","5110",NA,"11.2","9.1","10.1","22.6","42.2","55.6","56.4","47.3","61.9","32.8","8.1","5.7","363","1951 - 2010"
"242","13069","7100",NA,"9.8","6.7","9.7","20","43.5","54","53.3","41.7","64.5","30.8","7.8","7","348.8","1971 - 2000"
"243","13069","8110",NA,"11.2","11.1","8.5","21.2","39.5","55","53.9","46","64.1","31.8","7.9","4.1","354.3","1981 - 2010"
"244","13070","5110",NA,"14.1","13.2","8.9","30.6","43.4","82.6","65.8","66.9","93","42.1","15.7","5.9","482.2","1951 - 2010"
"245","13070","7100",NA,"14.6","11.1","9.1","34.8","52.6","94.3","64.8","63.6","91.2","32.5","13.2","7.2","489","1971 - 2000"
